,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
A1BG,5.677128781813947,-1.2138158640290544,1.1445692742012503,-1.0605001299516175,0.288917130884884,0.4447664239418476
A1BG-AS1,73.73422798610893,-1.6094715085341973,0.4257759202998778,-3.780090493141632,0.00015677136927160184,0.0010643988867173704
A2M,3.3131770443013555,-2.017534998890488,1.5934892932036728,-1.2661114244666694,0.2054731929969772,
A2M-AS1,134.00982860759868,3.063010079795454,0.8073681361586712,3.793820863885919,,
A2ML1,0.0,,,,,
AAAS,279.47874125427796,-0.36983718580076275,0.2727683934524719,-1.3558652493409376,0.17514204601820738,0.3123484349063986
AACS,195.08226709035372,0.2571895916690184,0.2576862149546532,0.9980727595935923,0.3182440781183944,0.4767192796204404
AADAT,1.206075943283029,1.1398813810655444,3.186691315244037,0.3577005954774293,0.720567387424971,
AAGAB,604.5600922927894,-0.14773408341407918,0.20554805300785392,-0.71873258467904,0.4723057023162469,0.6232574800484763
AAK1,2623.9489549530454,1.1340027920816882,0.31752872505013263,3.5713392289237693,0.00035516053321285834,0.0021376342423673057
AAMDC,36.00809554436888,0.8379026465752069,0.518939136768863,1.614645316197092,0.10638752595168995,0.2168951773897524
AAMP,554.2071641000183,-0.7955372847895954,0.16930463333084045,-4.698851231289255,2.6162893960228075e-06,2.8930311850994886e-05
AAR2,491.5188431019091,0.1824943921927226,0.16900299033516067,1.079829367698206,0.28021817093684165,0.43588178974346203
AARS1,480.6090731909703,-0.2587805892511005,0.23557025564651293,-1.0985282863529937,0.27197387302561826,0.4272128961238087
AARS2,422.34137391515407,0.060567411135016715,0.18019328347779903,0.33612468770224174,0.7367768422980516,0.8316810120595253
AARSD1,22.742533558895463,1.559375982578717,0.7623136546291418,2.045583170535412,0.040797398653160157,0.10491166366845442
AASDH,427.9911927042418,0.7208373002617466,0.1900704947541701,3.7924734251575978,0.0001491542163690278,0.0010225735578044046
AASDHPPT,745.132091489216,0.682161985949929,0.1800501432363966,3.7887333699828574,0.0001514173151657773,0.0010356803830828573
AASS,19.384942997363737,0.5000167574086455,0.9524497854157123,0.5249796525392727,0.599597335886581,0.7289726765892613
AATBC,47.64339717739164,-7.784501958148772,1.7464059226086197,-4.457441341312564,8.294372350074717e-06,8.091267269364748e-05
AATF,1142.2952753073166,0.00880754745573489,0.14374922997541892,0.06127022355000426,0.9511440043991968,0.9711249144041556
ABALON,8.353017315334677,0.02999791548941882,0.8777442158866658,0.034176147158219664,0.9727366872372843,0.9838591476546312
ABAT,219.21681972555356,-1.2169211283503114,0.2278626812770502,-5.340589874261594,9.264463375519194e-08,1.3906129343701928e-06
ABCA1,533.4733912747562,0.5117130939779071,0.9003167880332186,0.568370045721092,0.5697837255648919,0.7040679422821077
ABCA10,18.376692502209416,1.179843336538515,0.8262878908832831,1.4278840940985944,0.15332522254114597,0.2831657341584576
ABCA11P,7.053203419142748,3.6886078458756915,2.05773527625108,1.792557035128369,0.07304378163695402,0.16372648134560558
