,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ABAT,376.1428365682284,3.1375280271811543,0.7762022820230673,4.042152541736424,5.296275843047477e-05,0.0003840277300182298
ABCA1,107.94547157222064,4.758420331291033,0.7560804344231709,6.293537188171427,3.1031212104198915e-10,7.3517290961585045e-09
ABCA13,286.1806576000121,-4.794800641267264,0.9040442745020747,-5.303723253939218,1.1346428647154386e-07,1.645436667691877e-06
ABCA4,5.8342587325590465,-3.3559195706156215,1.266252522657621,-2.6502767106613065,0.008042587012478506,0.028723117039948984
ABCA8,190.50623157903172,-5.11248899545109,1.5384629296968186,-3.3231148419407135,0.0008901825834163369,0.00447181130939965
ABCB5,2028.6656803749186,4.698406923307337,1.0351993774907242,4.538649293526489,5.661570560239645e-06,5.3970061729222855e-05
ABCC9,232.93188925844345,-3.52042231801499,0.9962752177135992,-3.5335841496631617,0.0004099655601380828,0.002293116595277363
ABCG4,36.69095879067927,3.622335434981817,0.6025938592534279,6.01123854708649,1.8411125425055146e-09,3.771093450097344e-08
ABCG5,26.448631058703835,-4.56993438339598,1.5417889003105565,-2.9640467527529064,0.0030362215357196123,0.012763569232363867
ABHD17AP4,2.567607694144888,3.734246722702794,0.874698768579583,4.269180267358568,1.961926626568649e-05,0.00016048065134933637
AC004231.7,21.04398607375799,-7.114660408745385,2.706068632113805,-2.629150023880907,0.008559858883438194,0.030221695906876574
AC005307.3,6.755679290570451,3.6152915341213845,1.2829221349788926,2.8180132180671005,0.004832182051187212,0.01888005240434724
AC009299.4,35.44252963849103,-6.899221323307438,1.4592884519280578,-4.727798204797667,2.269675842981384e-06,2.400223969806917e-05
AC011933.2,2.203917280821967,5.649577401659792,1.2628754685959527,4.4735823461207245,7.691991606712096e-06,7.084098863434391e-05
AC012512.1,274.9557001548882,-9.859628063950659,2.0382890000516283,-4.837208101354088,1.3167554980285617e-06,1.4697680403632902e-05
AC092641.2,18.72831405757391,3.5354130005574174,1.1418146326170626,3.0963108192563427,0.0019594485010540276,0.008799363060995918
AC093616.4,109.716722596424,-3.8574008806058244,1.0088808253625479,-3.823445528583262,0.00013159967516282141,0.0008633385082273288
AC104532.2,325.27079987440266,-6.755833257006984,0.9896655526211384,-6.826380123178073,8.708399818299772e-12,2.653950817352752e-10
AC108938.5,7.9187743007390425,5.851320505178332,1.5257501140424266,3.8350451042572393,0.00012554125422667325,0.0008290009151396276
AC129778.2,49.15843111081398,-3.7577606212552395,1.3382118256719335,-2.808046192065609,0.0049843076861196866,0.019372824115673697
AC136612.1,16.177161189086245,-6.734260802432864,2.662205666558538,-2.5295794712728994,0.01141993086730884,0.03829548143848644
ACAN,496.8725579284626,-7.365482895761756,1.5572130293363855,-4.729913478119687,2.2461554357375057e-06,2.3791032350934275e-05
ACCSL,16.177539915334997,4.1106641375027175,1.2907998901859654,3.184586680519855,0.0014496088959060336,0.006787112041958557
ACKR1,3.734883796341768,5.709277250660471,1.355331069087338,4.212459509620054,2.5260500643289837e-05,0.00020146300949212205
ACOT4,29.89874473729728,5.568358781817212,1.3568415192706815,4.103912433937215,4.0622127074481144e-05,0.0003040839091835183
ACOX2,237.47967103178374,-5.664599432216569,1.3187000783974683,-4.295593459811115,1.7422661553926447e-05,0.0001448695388572454
ACP7,42.60076954487486,4.442098939162542,0.3840731157894295,11.565763800031116,6.144210045761077e-31,1.2610677638820235e-28
ACPP,318.61344908854267,-5.927794263832633,1.8189878462296591,-3.258842150110886,0.0011186789185014079,0.005445573031640202
ACSM5,3.78266143433347,4.677317507343147,0.8767458640068999,5.33486121732801,9.561766159024541e-08,1.4089770294697407e-06
ACTBL2,27.954157463268825,-3.6311252911323515,1.204285711691059,-3.015169287389055,0.0025683585983814544,0.011088208810440989
ACTL8,23.172156640509712,-6.287808666386291,1.520360256066097,-4.13573601473632,3.538187528308356e-05,0.00027018642347909744
ACTN2,151.69778774737117,-3.2294658700837964,1.1283526336227665,-2.862106910421303,0.0042083492568699326,0.01680434345104864
ADAMTS1,3340.6394397493095,-3.1310181852986037,0.8156351116930618,-3.838748651709421,0.0001236629411516448,0.0008184785779283262
ADAMTS10,16.22120746942323,7.874189208116197,1.0875545217658835,7.240270763925216,4.47789854784592e-13,1.6772523536568498e-11
ADAMTS15,27.434675252016802,-3.134303336040601,1.2862400050497922,-2.436795095577258,0.014818073365627083,0.04744519701945609
ADAMTS16,255.42125449579137,-4.546248092273141,1.3439509044955573,-3.382748638410675,0.0007176428323882056,0.00372485112054023
ADAMTS17,352.5710524955262,-3.253774946831685,1.0680207025937305,-3.046546699824979,0.0023148651704417975,0.010156855708880294
ADAMTS6,551.0009196909929,-4.240730948513571,1.665292625568189,-2.5465379978288536,0.010879736609392057,0.036847116039958216
ADARB2,11.82583563783569,4.2552283322369355,0.479745438018352,8.869762993085839,7.330174529062712e-19,5.209863267758565e-17
ADCY5,36.6880679181151,3.9404235590163537,0.5011259843938697,7.863139573140358,3.746231924818468e-15,1.815703829778281e-13
ADCY7,895.7880157589689,-3.9052760700572717,1.412230835449307,-2.765324175077081,0.0056866251933218,0.021658924282990853
ADCYAP1R1,8.65225962375017,-5.834130765013539,2.2831633153772115,-2.5552840332184714,0.010610117980892788,0.036043221257841165
ADD2,1272.443603926418,-5.733229232983639,1.5653872610921247,-3.6624989710110034,0.00024976675631805935,0.0015068411927358866
ADGRB3,29.450759946907016,6.160339971014308,0.4881059625639751,12.620907023250886,1.619452079312765e-36,4.861740167656263e-34
ADGRE1,84.30115031544942,-9.11663590566362,2.2004516907208043,-4.143074780558929,3.426801435387639e-05,0.00026287827639735685
ADGRE4P,6.950992820731023,-5.520862833270012,2.0480655066605413,-2.695647583202559,0.0070251949197711215,0.025733886471731256
ADGRL2,918.5217656269451,-3.3215780118218685,0.986489780139806,-3.3670678386056188,0.0007597199716993249,0.003910186159355226
