,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
A1BG,41.10001510442967,0.390058190363632,0.35900189622323286,1.0865073261927503,0.277254601414177,0.3615041221212002
A1BG-AS1,420.77362401922113,-1.2035984157878332,0.17653185493255255,-6.8180239552101884,9.230125467536424e-12,1.6665914544183768e-10
A2M,128.6272771013697,-2.469881313581735,0.39192666609413085,-6.301896572121817,2.940253557639377e-10,3.764429980319653e-09
A2M-AS1,87.0198330258923,-0.0623829078725173,0.3195496232075901,-0.19522134698932592,0.8452196680835595,0.8849321097450071
A2ML1,98.4184375163363,-2.495547242137115,0.8351370318292844,-2.98818894028788,0.002806360061634373,0.006764980563588871
AAAS,1373.0665707534206,0.13786875432705784,0.14741368601950375,0.9352507087355305,0.3496591111584856,0.43916115485259827
AACS,1157.936576753874,0.6555782331751877,0.14574993898263977,4.497965747026991,6.860674706909066e-06,3.281616702829438e-05
AADAT,99.51756100411114,1.4557852199973282,0.301452728196507,4.829232194071737,1.3706051199391023e-06,7.775292743238017e-06
AAGAB,2414.768716563239,0.4284763363283653,0.1585610161058238,2.702280464968765,0.006886564518227022,0.014843224123256305
AAK1,5492.213282611194,-1.385912780243405,0.2653768100647285,-5.222433640322094,1.765868473736487e-07,1.2301126991429786e-06
AAMDC,251.1674044053531,1.1615306960012093,0.23141350350286022,5.0192865948587695,5.186372531390234e-07,3.217098532525886e-06
AAMP,2392.441059807373,0.19463547856372496,0.13369881615924373,1.4557756317894532,0.14545465422174095,0.20975155915017207
AAR2,1511.266465081298,0.6964415618327622,0.1067916986131303,6.521495311688327,6.96098978998456e-11,1.03462677332753e-09
AARS1,2431.0442441350783,-0.07568865406959495,0.11005664526123964,-0.6877245248565776,0.4916262729017187,0.5791666158805647
AARS2,1310.665927269587,0.0616507390818164,0.14204913408218806,0.4340099605686154,0.6642812079892887,0.7342740365929317
AARSD1,41.92058160455906,-0.30011974244661577,0.41102624427204565,-0.7301717265722227,0.46528522248649085,0.5540011477929059
AASDH,1347.6387682469458,-0.06796444760110519,0.15128625120845818,-0.4492440460267378,0.6532556168269787,0.724621602910162
AASDHPPT,2857.3604623385477,0.4436192145953182,0.17510922818565003,2.533385699838704,0.011296657551281494,0.022892502459145415
AASS,221.27265757232988,0.2945323454504786,0.41915450353153283,0.702682049146398,0.4822539169915291,0.5701882902830414
AATBC,35.99004879485719,-2.2950459993710965,0.5052566371188881,-4.542337162472675,5.563396727138951e-06,2.7212416375253344e-05
AATF,3388.8909223254304,-0.22165365923550118,0.18899228594294157,-1.1728185525118224,0.24086857664476424,0.32102941137258567
ABALON,29.084754907107342,0.41672930432687255,0.47385705518260535,0.87944096171847,0.3791622307017716,0.46891183636397143
ABAT,730.497472608266,-0.5802877428392328,0.19669760044769802,-2.950151610992995,0.0031761802816039826,0.007532343480795756
ABCA1,4978.792031289929,0.4286815186675388,0.31474214338642204,1.3620086400098912,0.17319515843745548,0.2433573735461899
ABCA10,94.21817839702231,-1.0252619196412904,0.29056595356730447,-3.5284998364538485,0.00041792220537681716,0.001267065476505295
ABCA11P,53.4363378425314,-0.8158768259401363,0.27094365089871064,-3.011241722158468,0.0026018164040268114,0.006337665335679864
ABCA13,99.5336617024317,0.13042493104737618,0.4397473044970302,0.2965906321962617,0.7667790636626447,0.8213670368707114
ABCA2,1061.5726627759914,-2.2446774987670826,0.30157001143849255,-7.443304750561716,9.819719747952631e-14,2.6981174312678887e-12
ABCA3,179.8048344148605,-1.4618374578047442,0.2858684807573331,-5.11367134261179,3.159568931011987e-07,2.0601745580296487e-06
ABCA5,1265.4254182006425,-0.4683329177728252,0.2151879943780542,-2.1763896221367816,0.02952613913394866,0.05320295075014312
ABCA6,82.94166629781795,-0.761721527580822,0.4068157642826741,-1.8723992393066247,0.06115139020657158,0.09978628525858545
ABCA7,2049.642066418872,-1.5026865145738264,0.23728880973633326,-6.332732319925062,2.4085722431415217e-10,3.150085502433187e-09
ABCA8,59.641374608337415,-1.2430657816069348,0.5025527249050921,-2.4735032166857516,0.013379559964503155,0.02652574574967817
ABCA9,81.70268917868884,-1.431436788768475,0.5174192784706,-2.7664929551901296,0.0056662809136333115,0.012533170705218753
ABCB1,2045.444999819585,-1.092928451239004,0.16672439872957837,-6.5553000014814815,5.553012645762021e-11,8.379374096503742e-10
ABCB10,1539.2489322735667,0.7322230765024332,0.14695930923027986,4.98248855644161,6.277170405616857e-07,3.829073947426282e-06
ABCB4,25.78142851765923,-0.2980587703510151,0.5058951697571019,-0.5891710144102059,0.5557465592040837,0.6378207096371725
ABCB7,2328.359291981047,0.6295858383363423,0.11982702772167936,5.254122131767074,1.487321644862427e-07,1.0570487929456358e-06
ABCB8,749.1444525333278,-0.25320939884745597,0.16332653076318523,-1.5503261941845572,0.12106324331830348,0.17925941501303358
ABCB9,136.1352382498879,0.37845036193985243,0.21446838774568322,1.764597411850828,0.0776314507748974,0.12272356321719073
ABCC1,4816.585914602565,0.5797228347721872,0.2420119613349625,2.3954305050642013,0.016600860880345465,0.03208673856723489
ABCC10,914.7812570255574,-0.7973974950868316,0.1677384127749855,-4.753815669857977,1.996130431276186e-06,1.089732711946526e-05
ABCC2,101.87881340373744,-0.9697470027232759,0.346516518596898,-2.798559233625975,0.005133115354497134,0.011513073464750173
ABCC3,20.3838005765369,0.03889031768906538,0.42181735187082414,0.09219705523393219,0.9265414776643832,0.9479005896276366
