source,target,weight,correlation
CCSER1,AMPH,1,1
CCSER1,CADM1,1,1
CCSER1,CFAP57,1,1
CCSER1,CLEC7A,1,1
CCSER1,CPA4,1,1
CCSER1,CPVL,1,1
CCSER1,DNASE1L3,1,1
CCSER1,FGD2,1,1
CCSER1,FGL2,1,1
CCSER1,HCAR1,1,1
CCSER1,HLA-DPA1,1,1
CCSER1,HLA-DPB1,1,1
CCSER1,HLA-DRA,1,1
CCSER1,IL12B,1,1
CCSER1,LYZ,1,1
CCSER1,MARCHF1,1,1
CCSER1,MNDA,1,1
CCSER1,MPEG1,1,1
CCSER1,MYCL,1,1
CCSER1,NAPSB,1,1
CCSER1,NELL2,1,1
CCSER1,PADI2,1,1
CCSER1,REXO1L1P,1,1
CCSER1,RPSAP15,1,1
CCSER1,SLC24A4,1,1
CCSER1,TIFAB,1,1
CCSER1,TLR10,1,1
CCSER1,WDFY4,1,1
CCSER1,XCR1,1,1
CCSER1,ZBTB7B,1,1
CFAP57,AMPH,1,1
CFAP57,CADM1,1,1
CFAP57,CCR4,1,1
CFAP57,CLEC7A,1,1
CFAP57,CPVL,1,1
CFAP57,DNASE1L3,1,1
CFAP57,EEF1A1P25,1,1
CFAP57,EOMES,1,1
CFAP57,FGL2,1,1
CFAP57,HCAR1,1,1
CFAP57,HLA-DPA1,1,1
CFAP57,HLA-DPB1,1,1
CFAP57,HLA-DRA,1,1
CFAP57,IL12B,1,1
CFAP57,LYZ,1,1
CFAP57,MARCHF1,1,1
CFAP57,MNDA,1,1
CFAP57,MPEG1,1,1
CFAP57,MS4A3,1,1
CFAP57,MYCL,1,1
CFAP57,NAPSB,1,1
CFAP57,NELL2,1,1
CFAP57,REXO1L1P,1,1
CFAP57,RPS27P29,1,1
CFAP57,RPSAP15,1,1
CFAP57,SLC24A4,1,1
CFAP57,TBC1D27P,1,1
CFAP57,THBD,1,1
CFAP57,TIFAB,1,1
CFAP57,TLR10,1,1
CFAP57,WDFY4,1,1
CFAP57,XCR1,1,1
CFAP57,ZBTB7B,1,1
IL2,IL12B,1,1
IL2,MS4A3,1,1
IL2,XCR1,1,1
EEF1A1P25,CADM1,1,1
EEF1A1P25,CLEC7A,1,1
EEF1A1P25,CPVL,1,1
EEF1A1P25,DNASE1L3,1,1
EEF1A1P25,HLA-DPA1,1,1
EEF1A1P25,HLA-DRA,1,1
EEF1A1P25,MPEG1,1,1
EEF1A1P25,RNU6ATAC,1,1
EEF1A1P25,RPSAP15,1,1
FGL2,AMPH,1,1
FGL2,CADM1,1,1
FGL2,CLEC7A,1,1
FGL2,CPA4,1,1
FGL2,CPVL,1,1
FGL2,DNASE1L3,1,1
FGL2,FGD2,1,1
FGL2,HCAR1,1,1
FGL2,HLA-DPA1,1,1
FGL2,HLA-DPB1,1,1
FGL2,HLA-DRA,1,1
FGL2,LYZ,1,1
FGL2,MARCHF1,1,1
FGL2,MNDA,1,1
FGL2,MPEG1,1,1
FGL2,MYCL,1,1
FGL2,NAPSB,1,1
FGL2,NELL2,1,1
FGL2,PADI2,1,1
FGL2,REXO1L1P,1,1
FGL2,RPSAP15,1,1
FGL2,SLC24A4,1,1
FGL2,TBC1D27P,1,1
FGL2,TIFAB,1,1
FGL2,TLR10,1,1
FGL2,WDFY4,1,1
FGL2,XCR1,1,1
FGL2,ZBTB7B,1,1
FGD2,AMPH,1,1
FGD2,CADM1,1,1
FGD2,DNASE1L3,1,1
FGD2,HLA-DPB1,1,1
FGD2,LYZ,1,1
FGD2,MARCHF1,1,1
FGD2,MYCL,1,1
FGD2,PADI2,1,1
FGD2,SLC24A4,1,1
FGD2,TLR10,1,1
FGD2,WDFY4,1,1
FGD2,XCR1,1,1
MYCL,AMPH,1,1
MYCL,CADM1,1,1
MYCL,CLEC7A,1,1
MYCL,CPVL,1,1
MYCL,DNASE1L3,1,1
MYCL,HLA-DPA1,1,1
MYCL,HLA-DPB1,1,1
MYCL,HLA-DRA,1,1
MYCL,IL12B,1,1
MYCL,LYZ,1,1
MYCL,MARCHF1,1,1
MYCL,MNDA,1,1
MYCL,MPEG1,1,1
MYCL,MS4A3,1,1
MYCL,NAPSB,1,1
MYCL,PADI2,1,1
MYCL,REXO1L1P,1,1
MYCL,RPSAP15,1,1
MYCL,SLC24A4,1,1
MYCL,SNCAIP,1,1
MYCL,TBC1D27P,1,1
MYCL,THBD,1,1
MYCL,TIFAB,1,1
MYCL,TLR10,1,1
MYCL,WDFY4,1,1
MYCL,XCR1,1,1
MYCL,ZBTB7B,1,1
TBC1D27P,AMPH,1,1
TBC1D27P,CADM1,1,1
TBC1D27P,CLEC7A,1,1
TBC1D27P,CPVL,1,1
TBC1D27P,DNASE1L3,1,1
TBC1D27P,HCAR1,1,1
TBC1D27P,HLA-DPA1,1,1
TBC1D27P,HLA-DPB1,1,1
TBC1D27P,HLA-DRA,1,1
TBC1D27P,IL12B,1,1
TBC1D27P,LYZ,1,1
TBC1D27P,MARCHF1,1,1
TBC1D27P,MNDA,1,1
TBC1D27P,MPEG1,1,1
TBC1D27P,MS4A3,1,1
TBC1D27P,NAPSB,1,1
TBC1D27P,REXO1L1P,1,1
TBC1D27P,RPS27P29,1,1
TBC1D27P,RPSAP15,1,1
TBC1D27P,SLC24A4,1,1
TBC1D27P,SNCAIP,1,1
TBC1D27P,TIFAB,1,1
TBC1D27P,TLR10,1,1
TBC1D27P,WDFY4,1,1
TBC1D27P,ZBTB7B,1,1
KLRK1,CCR4,1,1
KLRK1,CPVL,1,1
KLRK1,DNASE1L3,1,1
KLRK1,EOMES,1,1
KLRK1,HLA-DRA,1,1
KLRK1,MNDA,1,1
KLRK1,REXO1L1P,1,1
KLRK1,WDFY4,1,1
CPA4,CLEC7A,1,1
CPA4,HCAR1,1,1
CPA4,MARCHF1,1,1
CPA4,RPSAP15,1,1
CPA4,TLR10,1,1
CPA4,XCR1,1,1
CPA4,ZBTB7B,1,1
MARCHF1,AMPH,1,1
MARCHF1,CADM1,1,1
MARCHF1,CLEC7A,1,1
MARCHF1,CPVL,1,1
MARCHF1,DNASE1L3,1,1
MARCHF1,HCAR1,1,1
MARCHF1,HLA-DPA1,1,1
MARCHF1,HLA-DPB1,1,1
MARCHF1,HLA-DRA,1,1
MARCHF1,IL12B,1,1
MARCHF1,LYZ,1,1
MARCHF1,MNDA,1,1
MARCHF1,MPEG1,1,1
MARCHF1,MS4A3,1,1
MARCHF1,NAPSB,1,1
MARCHF1,NELL2,1,1
MARCHF1,PADI2,1,1
MARCHF1,REXO1L1P,1,1
MARCHF1,RPSAP15,1,1
MARCHF1,SLC24A4,1,1
MARCHF1,THBD,1,1
MARCHF1,TIFAB,1,1
MARCHF1,TLR10,1,1
MARCHF1,WDFY4,1,1
MARCHF1,XCR1,1,1
MARCHF1,ZBTB7B,1,1
THBD,AMPH,1,1
THBD,CADM1,1,1
THBD,CLEC7A,1,1
THBD,CPVL,1,1
THBD,DNASE1L3,1,1
THBD,EOMES,1,1
THBD,G0S2,1,1
THBD,HLA-DPA1,1,1
THBD,HLA-DPB1,1,1
