,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
A1BG,374.6979100020951,-3.01974483249543e-06,0.0012144283874633906,-0.9565290915395003,0.33880499394437813,0.49506103004933966
A1CF,1.403492471553329,-4.2413578651323627e-07,0.0011992123387789208,-0.4522806470554997,0.6510668160532543,0.7710582884657092
A2M,12905.708618146024,-1.179155226596832e-06,0.0017266104890395768,-1.4920085749791094,0.13569689738759103,0.25907996146692036
A2ML1,4.964392279339459,-3.0532566924622814e-06,0.0012707238783365507,-1.8498941102916042,0.06432881294322268,0.14889640316915775
A2MP1,7.870430599069448,-2.390079435698117e-06,0.001810552666932354,-2.351348854456483,0.01870548738305058,0.05726978373619913
A3GALT2,0.8609062916118536,8.30949316092206e-07,0.0010835370833386295,1.0993855128684218,0.27159994710079083,
A4GALT,45.18107376317145,4.397705208021731e-07,0.001048070961191481,1.3686135490624007,0.17112010647828213,0.30593212708460066
A4GNT,1.3319563023948986,-2.1365772367408935e-07,0.0011696159111615114,-0.20966705387427242,0.8339275411574945,
AAAS,1851.8899614307022,2.5877966882993286e-05,0.0011559797715482458,2.520179354429639,0.011729505068973039,0.039132072475920335
AACS,1919.7265079032843,-1.533173127714502e-05,0.001229749189303562,-2.5428247721239936,0.01099603582995179,0.03715341251195201
AACSP1,13.806187472427899,3.6158464419771554e-07,0.0010263892373802645,2.054946163502314,0.039884204943417705,0.10348695797625178
AADAC,0.0,,,,,
AADACL2,0.0,,,,,
AADACL3,0.0,,,,,
AADACL4,0.0,,,,,
AADACP1,0.322845640001461,3.4869777940871366e-07,0.0010934054120115947,0.4091051083943003,0.6824625275627612,
AADAT,581.1093157882359,1.6221224698415122e-06,0.001127430234597418,1.0170993321756987,0.3091061779695726,0.4647452282613233
AAED1,732.3579973650168,-2.613005140226955e-06,0.001204827438561044,-0.7737593374759291,0.4390731228378143,0.594754986380214
AAGAB,1824.4937336286046,3.4748603522571805e-06,0.0011578231229952675,0.8432739409279247,0.3990752534600285,0.5557046341480659
AAK1,2280.328133179501,1.106138132093712,0.12264560959729152,9.363389270367449,7.721906135396436e-21,6.752974782928866e-19
AAMDC,280.50911565485563,-1.7030690810522013,0.34566933994676396,-5.356083702890936,8.504512284738127e-08,1.2680486293196642e-06
AAMP,4939.413247730158,0.792145522748397,0.2663033642847213,3.9310870138120664,8.456265734106441e-05,0.000582497701971976
AANAT,2.84806815071698,1.545669425160767e-06,0.0010733186654985768,1.935660715325424,0.05290926888203383,0.12834262352788572
AAR2,2088.794232357771,-4.440722069303491e-06,0.0011958860793802512,-1.063124241287618,0.2877256125265165,0.4423874767129149
AARD,85.99048693559774,1.3607571058050028,0.39869379392856863,4.27374956880825,1.9221291630699466e-05,0.0001574814907779589
AARS,9702.538061602334,4.792636673860143e-06,0.0011452372727969202,1.2911565200786308,0.1966494086089099,0.33890893708847686
AARS2,1641.6213376710195,6.25197753405149e-06,0.0011106151774296178,2.448834509844178,0.014331928024170078,0.04616051245446869
AARSD1,788.23365133673,9.788829317801173e-06,0.0011469462433879888,1.8483391484865381,0.06455329572271554,0.1493129013531164
AARSP1,0.0,,,,,
AASDH,352.4207056925281,-0.7103481870722196,0.11768144277350583,-6.454422634511182,1.0863225555583628e-10,2.7519259297860087e-09
AASDHPPT,2061.0188406920424,7.765249145171414e-06,0.0011314135936004589,2.346551543500551,0.018948045243840732,0.05783322944379552
AASS,1002.8844371782621,-5.1182732288268325e-06,0.0012713358226841785,-1.797955251597708,0.07218409931249477,0.16244248977081222
AATF,3456.0478638371965,0.7039765271620946,0.2071735222378014,4.237981159029615,2.2553869087302134e-05,0.0001813143576426839
AATK,148.34719123273473,-1.19942544344206e-06,0.0014526970357055641,-1.217438825434724,0.22343729850669525,0.3700837260275623
AATK-AS1,0.1730131774774741,-1.8699406221137514e-07,0.0013052934012062628,-0.27709000947333623,0.7817109928855861,
AB019438.66,0.0,,,,,
AB019441.29,44.74688754788574,-9.437169013788682e-06,0.0011894939283877439,-1.8596882633755836,0.06292964349282404,0.14650079273317854
ABAT,376.1428365682284,-2.726538216475457,0.7675212346690553,-4.042152541736419,5.2962758430475966e-05,0.00038430480630252293
