source,target,weight,correlation
LPIN1,ADCY1,1,1
LPIN1,ANXA11,1,1
LPIN1,ATP1B3,1,1
LPIN1,BCL7A,1,1
LPIN1,C8ORF58,1,1
LPIN1,CISD3,1,1
LPIN1,COMMD3,1,1
LPIN1,CUTA,1,1
LPIN1,DHRS1,1,1
LPIN1,ETV1,1,1
LPIN1,FAM122B,1,1
LPIN1,FAM149B1,1,1
LPIN1,FKBP11,1,1
LPIN1,GBP3,1,1
LPIN1,GLCCI1,1,1
LPIN1,HERC4,1,1
LPIN1,HMCN1,1,1
LPIN1,ITGB5,1,1
LPIN1,KLF6,1,1
LPIN1,KRBA1,1,1
LPIN1,LRIG1,1,1
LPIN1,METTL14,1,1
LPIN1,MMP15,1,1
LPIN1,NDFIP1,1,1
LPIN1,NOMO1,1,1
LPIN1,NT5DC2,1,1
LPIN1,PGRMC1,1,1
LPIN1,PPIA,1,1
LPIN1,RAD17,1,1
LPIN1,ROR1,1,1
LPIN1,SHROOM1,1,1
LPIN1,SLC1A1,1,1
LPIN1,SMAP2,1,1
LPIN1,SORCS1,1,1
LPIN1,ST6GAL1,1,1
LPIN1,TBC1D22B,1,1
LPIN1,THOC2,1,1
LPIN1,TMEM5,1,1
LPIN1,TMEM54,1,1
LPIN1,TMEM62,1,1
TMEM161A,ETFB,1,1
TMEM161A,FABP7,1,1
TMEM161A,GORAB,1,1
TMEM161A,RIDA,1,1
CHST10,AIMP2,1,1
CHST10,ARMCX5,1,1
CHST10,CEP170B,1,1
CHST10,COX18,1,1
CHST10,DGKI,1,1
CHST10,DUS3L,1,1
CHST10,ELOVL2,1,1
CHST10,GPD2,1,1
CHST10,HOXD13,1,1
CHST10,LIN28B,1,1
CHST10,NKRF,1,1
CHST10,PINX1,1,1
CHST10,SEMA3D,1,1
CHST10,SWAP70,1,1
CHST10,TIMM44,1,1
CHST10,TPM3P9,1,1
CHST10,UBASH3B,1,1
CHST10,UBE3C,1,1
CITED4,AC004980.7,1,1
CITED4,ACPP,1,1
CITED4,ADGRB1,1,1
CITED4,AFAP1L2,1,1
CITED4,AGMO,1,1
CITED4,ALG13,1,1
CITED4,ANGPTL1,1,1
CITED4,ARHGAP6,1,1
CITED4,ARPP21,1,1
CITED4,ART3,1,1
